24
bank certificates company crude cts dollar exchange grain inc it japan market mln more oil opec pct port rate shipping strike trade u vs 
5485
24
0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 
0 0 4 0 0 0 0 0 2 4 0 1 1 0 0 0 2 0 0 0 0 0 0 0 
0 0 0 0 2 0 0 0 1 0 0 0 6 0 0 0 0 0 0 0 0 0 0 5 
0 0 0 0 7 0 0 0 1 0 0 0 8 0 0 0 0 0 0 0 0 0 0 9 
0 0 0 0 1 0 0 0 1 0 0 0 7 0 0 0 0 0 0 0 0 0 0 6 
0 0 3 0 4 0 0 0 1 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 
0 0 5 0 3 0 0 0 1 0 0 0 4 0 0 0 3 0 0 0 0 0 0 0 
0 0 0 0 6 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 7 
0 0 0 0 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 6 
0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 6 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 7 
0 0 0 0 2 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 8 
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 
0 0 0 0 6 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 6 
0 0 7 0 0 0 0 0 3 4 0 0 3 0 0 0 0 0 1 0 0 0 1 0 
1 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 1 0 1 0 0 3 0 0 
0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
0 0 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 1 0 2 1 0 0 1 2 0 0 5 0 0 0 2 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 2 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 7 
0 0 0 0 3 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 0 0 8 
0 0 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 2 0 1 0 1 0 0 0 7 0 0 0 1 0 0 0 0 0 0 6 
0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 5 
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 
0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 2 0 0 0 0 0 0 0 
0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 7 
0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 5 0 0 0 1 0 1 10 0 9 3 0 0 0 2 0 0 0 0 0 0 0 
0 0 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
0 0 1 0 0 1 0 0 1 2 0 0 3 0 0 0 0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 
0 0 1 0 0 0 1 0 0 5 0 0 1 0 0 0 3 0 0 0 0 0 0 0 
0 0 0 0 1 0 0 0 1 0 0 0 8 0 0 0 0 0 0 0 0 0 0 6 
0 0 1 3 0 0 0 0 0 1 0 1 0 0 5 0 0 0 0 0 0 0 1 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 2 0 1 0 0 0 1 4 0 0 5 1 0 0 0 0 0 0 0 0 0 0 
0 0 1 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 0 0 4 0 0 0 1 0 0 2 0 0 0 0 0 0 0 
0 11 0 0 0 0 0 2 0 2 0 0 0 5 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 4 0 0 0 1 0 0 0 5 0 0 0 0 0 0 0 0 0 0 7 
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 0 0 1 0 0 0 0 0 6 0 1 0 0 0 0 0 0 0 0 4 
0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
0 0 0 0 0 0 0 0 1 1 0 4 4 1 12 16 0 0 0 0 0 0 0 0 
