1
10000 100000
8792 3785 1673
5799 8104 4958
5812 9461 6384
2927 3112 3735
693 5570 4660
7802 4512 7056
1133 2557 4258
8124 2305 5992
5390 3593 9158
7836 6607 6698
574 5400 2065
3829 2781 1751
8786 8592 2795
6752 3101 5906
488 3793 1476
6729 3177 5988
5367 5892 127
9625 4016 2431
7199 9405 6023
6357 7242 4213
4638 9397 1195
6702 3226 3975
8453 3595 4149
2830 347 7249
8735 2416 1043
1793 9144 4219
9362 4512 111
9489 5719 5709
1920 2918 5114
9525 9275 3938
5320 5495 3336
6514 2197 6561
489 2232 1738
4637 6643 2085
3468 5378 4500
4510 8753 5227
312 8115 1321
2004 9186 7039
7712 2689 1539
2827 2214 2396
6764 9115 7890
1682 5629 1670
9825 7699 5483
1563 3918 2127
5229 7385 9086
9729 3478 7839
6538 5371 5955
7858 7374 6723
6479 5087 9411
8017 7913 3207
1996 6259 2322
9885 9523 7950
3137 9348 7231
8620 2493 2731
747 7722 1699
9832 7451 5176
9254 5571 547
6791 3429 7920
3514 9907 4589
2926 9506 4084
6132 3084 1926
8454 2970 1449
7986 7688 797
6800 6308 3289
9530 8636 1011
1229 52 44
7986 9305 5614
115 6096 625
9617 1192 532
4206 4117 1621
8290 1832 4704
216 286 9255
3246 9853 6944
4042 6653 4834
8912 7766 5053
1506 577 6686
1549 8563 5991
8745 8677 3669
9369 9876 6442
1484 4083 560
4686 3955 2391
9389 5752 4258
228 8997 5693
8753 4621 3929
5169 3533 1695
222 5038 3853
6907 8169 2416
4480 6914 2676
9730 6283 4134
6173 9348 8216
8314 4034 3753
2287 5006 9504
6544 5233 84
3819 3986 4704
7747 9154 9819
1024 959 4857
6459 9447 4608
8874 3928 1522
3132 5240 9387
7266 1413 318
7064 9726 4352
2400 2013 9357
3486 139 6172
3570 5540 158
9855 4869 894
9674 5893 3434
6114 2352 2882
722 2808 8391
3826 7522 3631
3213 6370 5044
3530 5016 6352
9463 7415 8365
8820 902 86
4992 6053 5625
6731 5908 495
9207 5583 7969
4223 1697 1903
7104 4000 6292
7077 7825 5396
709 1038 1766
7334 6150 6782
5268 7195 5779
5215 6016 8262
5301 2590 4315
2508 904 224
4584 1693 7388
2553 5915 667
6037 4602 4666
2330 1679 2492
7725 3969 3529
1074 2885 1261
7855 8153 8456
5216 3368 6054
3479 251 226
7793 2759 2711
9598 7342 4403
6986 1478 1901
7652 7514 6502
2319 9843 9762
4810 9151 5314
9920 225 8198
2764 9661 7933
2802 4877 1302
8855 8355 1552
663 7731 5892
3374 7329 4817
7776 5898 6294
9676 3550 3808
7760 5868 5234
7523 2260 4385
4419 2181 4609
2617 4944 4270
2133 7745 729
3434 8182 667
6567 427 8397
4042 3800 7308
8858 3159 3206
5152 4417 6756
542 2178 4206
5775 1283 8048
160 5701 229
4768 9899 6754
620 2032 6081
1349 7047 5845
3597 5197 6271
1994 9238 72
884 9678 4812
4090 4830 9228
2428 5371 2988
8215 1147 4270
6263 2888 1553
8073 7656 1453
6409 9857 5066
2490 2788 2114
9916 6384 7310
6188 9959 8130
7841 844 7808
2653 6515 2638
3463 525 9590
6451 8739 2319
2303 6585 5207
3856 4658 4445
5308 1068 4302
374 5139 8672
4069 5056 5056
1379 2826 5016
1091 2249 7441
8898 6483 5538
3118 9945 6062
2709 6396 6383
5027 8699 4550
1816 4137 9208
6260 1027 1858
2145 1400 8578
817 7051 5216
5872 8429 8041
2470 9520 1872
1493 1 8354
7030 3119 8300
3092 7409 6278
1058 2436 6559
5607 5834 696
6397 2094 1722
9836 4238 4704
8415 6636 1755
3631 4091 1766
3255 6560 2868
5126 8053 2869
3481 6665 5987
3363 9757 3396
9640 2397 7413
7782 8003 4829
8477 5983 6923
1782 5819 2743
6485 4234 9379
9821 9447 3470
1587 4284 1612
4455 992 1247
8905 6054 7912
6474 999 9251
1452 640 1648
447 8421 1233
5276 8480 7215
2199 262 3035
6523 8328 8850
7484 8149 9879
954 9736 5745
4148 5773 8319
5394 6260 4373
4888 2734 5372
4139 4185 7593
5786 4631 7596
8601 9906 7658
5816 3687 7920
433 1793 6248
866 9276 5980
2327 1813 7298
8072 5960 3071
7973 2936 9330
2346 7824 3646
9299 1963 7830
8474 9331 4043
7652 9514 5532
5311 5330 801
3231 7345 2593
1061 8210 1870
8622 2119 3682
5920 191 1224
573 9745 4159
9902 2092 3565
5130 2973 5528
2960 3030 6441
8585 682 5955
4117 5992 2867
4917 805 212
9092 1866 4
962 2070 3705
6225 7990 5477
7448 8562 5223
3189 48 8896
6754 5177 1869
3864 9719 4898
1887 8304 7162
9423 4003 3154
2290 502 3959
4084 9593 7406
5669 2137 9475
9373 8361 7465
4851 7391 7610
74 2163 7657
8969 499 4416
2420 5944 4135
8900 7830 4021
6062 7253 8023
798 1125 8525
6338 5208 9700
3744 2460 1838
4802 1833 199
3849 8265 9172
1459 9920 1335
698 8889 1833
5114 2892 7776
831 1792 7188
4852 9435 4441
4457 233 7147
4564 6571 3938
4265 1897 6397
6102 6698 9811
7882 2130 8077
7054 3588 7997
9970 5868 8469
1803 2564 1361
1161 3394 4734
8348 9827 5751
